TAZ,emp_other,emp_rec,emp_retail,emp_srvc,emp_gaming
109,71,54,13,445,0
110,154,23,117,817,0
111,88,4,73,251,0
112,23,7,0,136,0
113,40,3,79,86,0
114,18,0,0,24,0
115,101,0,0,0,0
117,0,441,7,124,0
118,70,154,51,350,0
119,62,56,30,176,0
120,231,16,0,121,0
121,3,0,0,8,0
123,19,0,0,2,0
124,57,6,12,85,0
125,3,0,0,4,0
126,62,0,0,0,0
127,207,0,0,0,0
128,107,0,64,0,0
130,8,0,0,0,0
131,375,0,0,0,0
133,5,0,0,0,0
137,6,0,0,14,0
138,52,12,7,141,0
139,102,0,3,22,0
140,16,6,15,42,0
141,54,0,25,58,0
142,62,1,26,61,0
143,63,4,13,91,0
144,66,43,1,1,0
145,4,0,0,0,0
146,9,9,0,12,0
147,99,0,0,3,0
148,30,0,29,25,0
149,173,0,5,76,0
150,333,4,142,30,0
151,2,0,1,0,0
152,11,0,0,0,0
153,77,0,1,0,0
154,30,0,0,10,0
156,37,0,9,27,0
157,58,0,81,0,0
158,293,0,188,95,0
159,46,0,0,32,0
160,61,2,0,32,0
161,99,0,171,178,0
162,939,0,0,2,0
165,59,0,0,0,0
166,8,0,0,0,0
167,24,0,2,0,0
168,9,0,0,0,0
169,2,1,0,0,0
170,24,0,0,0,0
171,6,0,0,0,0
175,28,6,7,0,0
176,7,0,0,0,0
178,7,0,0,12,0
179,46,0,0,0,0
180,522,146,19,49,0
181,22,0,0,9,0
182,2,0,1,0,0
183,10,0,0,0,0
185,18,18,0,40,0
186,8,0,0,0,0
188,20,0,0,0,0
190,3,0,0,0,0
191,4,0,1,0,0
192,12,0,0,0,0
194,3,0,0,0,0
195,55,0,0,0,0
196,50,0,7,39,0
197,32,0,2,14,0
198,7,15,0,0,0
200,10,0,0,0,0
202,15,0,0,0,0
203,35,20,14,224,0
224,26,0,0,0,0
228,72,0,0,23,0
229,6,0,0,0,0
230,26,0,0,0,0
232,6,0,0,15,0
234,47,0,0,0,0
236,5,13,0,58,0
239,46,174,34,0,0
241,26,0,0,0,0
244,16,0,0,0,0
247,14,0,0,0,0
248,14,0,0,0,0
249,52,19,37,261,0
251,23,0,0,0,0
253,39,1,0,107,0
254,275,10,26,34,0
255,164,79,120,153,0
256,65,1,296,0,0
257,152,61,151,327,0
260,152,19,21,10,0
262,74,1,3,9,0
266,277,0,4,16,0
267,2,0,1,0,0
268,19,0,0,0,0
269,3,0,3,0,0
270,5,1,0,0,0
271,148,0,0,0,0
273,20,0,0,5,0
274,168,0,0,0,0
276,5,35,0,136,0
277,30,3,6,38,0
278,35,0,0,0,0
280,13,0,1,0,0
281,212,54,28,42,0
282,27,0,0,0,0
283,6,0,0,0,0
286,14,0,0,0,0
288,14,0,0,0,0
290,502,36,106,403,0
291,16,0,0,0,0
292,9,0,0,0,0
395,0,0,0,0,0
397,0,0,0,0,0
396,0,0,0,0,28
343,0,0,0,0,0
344,0,0,0,0,0
342,7,0,0,0,0
341,0,0,0,0,0
339,0,0,0,0,0
338,6,3,1,1,0
337,0,1,0,1,0
334,0,0,0,0,0
328,0,1,1,0,0
330,0,4,0,7,0
327,51,21,0,29,0
325,18,0,8,12,0
326,0,0,0,0,0
324,26,46,3,409,0
320,1,1,1,1,0
323,21,10,35,30,0
319,26,0,0,10,0
322,33,8,149,44,0
314,0,0,0,0,0
315,1,0,38,2,0
317,117,0,29,66,0
318,0,0,0,8,0
321,15,0,0,41,0
313,209,2,80,135,0
311,24,0,3,2,0
310,1,0,0,1,0
301,0,66,6,0,0
306,4,0,5,6,0
305,323,7,0,37,0
308,0,0,0,0,0
312,69,4,25,38,0
304,24,0,135,0,0
303,0,0,0,0,0
300,43,0,8,24,1054
302,30,0,296,17,1054
307,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
386,27,0,1,7,0
385,0,0,0,0,0
369,6,0,3,0,0
387,17,0,0,17,0
391,50,0,3,16,0
368,16,7,6,6,0
392,0,0,0,0,0
370,15,0,5,10,0
374,3,11,2,58,0
393,18,0,0,9,0
383,12,0,1,2,0
373,14,0,3,31,0
382,17,0,0,62,0
384,56,36,14,17,0
366,0,0,0,95,0
390,31,8,14,5,0
371,0,31,0,0,0
372,26,34,170,33,0
381,2,1,14,18,0
380,5,0,122,99,0
389,1,0,12,0,0
377,48,1,76,61,0
394,3,0,0,3,0
378,45,0,32,51,0
388,0,0,0,0,0
367,16,10,31,3,0
379,144,11,95,128,0
365,519,2,120,143,0
362,16,340,0,0,0
376,43,0,14,16,0
375,0,0,0,0,0
364,25,14,3,26,428
361,107,0,87,27,0
363,0,0,0,0,0
360,1,0,0,2,0
359,0,0,0,0,0
357,0,0,0,0,0
356,0,0,0,0,0
355,23,11,3,3,0
353,0,0,0,0,0
354,0,0,0,0,0
352,0,0,0,0,0
335,1,0,0,0,0
336,15,0,0,0,0
340,10,0,0,10,0
333,0,0,0,0,0
332,0,0,0,0,0
329,32,0,6,15,0
316,7,0,0,4,0
309,4,10,0,2,0
358,0,0,0,0,0
331,11,0,1,1,0
350,0,0,0,0,0
351,0,0,0,0,0
347,0,0,0,0,0
349,0,0,0,0,0
348,0,0,0,0,0
